participant,daysBetween,condition,stimuliType,stimSet,meanValenceRating,meanArousalRating,meanValenceRT,meanArousalRT,meanZValenceRating,meanZArousalRating,Ntrial,KVIQ_Visual_Score,KVIQ_Kinesthetic_Score,GoldMSI_ActiveEngagement_63,GoldMSI_PerceptualAbilities_63,GoldMSI_MusicalTraining_49,GoldMSI_Emotions_42,GoldMSI_SingingAbilities_49,GoldMSI_GeneralMusicalSophistication_126
P33,7,Sham,High Valence - Low Arousal,Set2,6.75,4,13.05719879,6.432511775,0.86866794,-0.61783644,8,18,19,28,48,39,29,33,83
P33,7,Sham,Low Valence - High Arousal,Set2,3.125,6.25,8.507048213,6.427846462,-0.997359487,0.653141379,8,18,19,28,48,39,29,33,83
P33,7,Sham,Low Valence - Low Arousal,Set2,3.625,3,11.76484068,6.113805162,-0.739976394,-1.18271547,8,18,19,28,48,39,29,33,83
P34,7,Active,High Valence - High Arousal,Set1,8.125,8.25,4.043019663,1.06479305,1.353228828,0.999682691,8,18,15,43,38,28,37,21,62
P34,7,Active,High Valence - Low Arousal,Set1,5.25,4,4.609605813,1.731895087,0.284584603,-0.699777884,8,18,15,43,38,28,37,21,62
P34,7,Active,Low Valence - High Arousal,Set1,2,7.875,1.917591863,1.3274669,-0.923447999,0.849730287,8,18,15,43,38,28,37,21,62
P34,7,Active,Low Valence - Low Arousal,Set1,3,4.25,3.085102725,2.6254039,-0.55174566,-0.599809614,8,18,15,43,38,28,37,21,62
P34,7,Sham,High Valence - High Arousal,Set1,7.75,8,1.230807975,2.728008812,1.213840451,0.899714422,8,18,15,43,38,28,37,21,62
P34,7,Sham,High Valence - Low Arousal,Set1,5.375,2.875,1.204992138,2.93593855,0.331047396,-1.149635094,8,18,15,43,38,28,37,21,62
P34,7,Sham,Low Valence - High Arousal,Set1,1.625,7.375,1.265067587,2.68440805,-1.062836376,0.649793749,8,18,15,43,38,28,37,21,62
P34,7,Sham,Low Valence - Low Arousal,Set1,2.75,3.375,1.2044542,3.109752337,-0.644671244,-0.949698556,8,18,15,43,38,28,37,21,62
P35,7,Active,High Valence - High Arousal,Set1,7.625,8.25,1.048264675,3.611583725,1.117305136,1.069281722,8,20,21,35,53,22,30,34,77
P35,7,Active,High Valence - Low Arousal,Set1,5.625,2.125,2.63025235,4.454911213,0.36061171,-0.945903062,8,20,21,35,53,22,30,34,77
P35,7,Active,Low Valence - High Arousal,Set1,2.5,6.375,1.971413187,3.381373025,-0.821721766,0.452388421,8,20,21,35,53,22,30,34,77
P35,7,Active,Low Valence - Low Arousal,Set1,2.875,2,0.892776813,3.9208653,-0.679841749,-0.987029282,8,20,21,35,53,22,30,34,77
P35,7,Sham,High Valence - High Arousal,Set1,8,8.25,4.254500187,1.522711762,1.259185153,1.069281722,8,20,21,35,53,22,30,34,77
P35,7,Sham,High Valence - Low Arousal,Set1,5.75,2.875,5.739842837,2.523371662,0.40790505,-0.699145742,8,20,21,35,53,22,30,34,77
P35,7,Sham,Low Valence - High Arousal,Set1,1.75,6.875,3.472124213,1.799792137,-1.105481801,0.616893301,8,20,21,35,53,22,30,34,77
P35,7,Sham,Low Valence - Low Arousal,Set1,3.25,3.25,7.269774225,2.81555395,-0.537961732,-0.575767081,8,20,21,35,53,22,30,34,77
P36,7,Active,High Valence - High Arousal,Set2,7.375,7.625,2.532775325,6.079796762,1.1030981,0.979738771,8,13,18,56,54,40,40,41,107
P36,7,Active,High Valence - Low Arousal,Set2,6.625,4.625,2.099818975,5.976258063,0.740435711,-0.699813408,8,13,18,56,54,40,40,41,107
P36,7,Active,Low Valence - High Arousal,Set2,2.875,7.375,3.83424905,4.988150238,-1.072876234,0.83977609,8,13,18,56,54,40,40,41,107
